"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-03-12","13.42",,"0.03","0.0","0.0","38","45","30","   60","   60","23.9","30.0",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-03-13","20.13",,"0.21","1.2","1.2","36","42","33","  310","  310","31.1","38.0","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-03-14","22.59",,"0.00","0.0","0.0","35","42","31","  270","  270","32.0","38.9",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-03-15","19.69",,"0.00","0.0","0.0","38","48","32","  260","  290","28.0","35.1",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-03-16","20.58",,"0.00","0.0","0.0","37","41","31","  310","  320","33.1","40.0",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-03-17","16.55",,"0.00","0.0","0.0","36","50","27","  270","  270","28.0","34.0",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-03-18","13.20",,"0.00","0.0","0.0","36","44","28","  330","  330","28.0","33.1",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-03-19","6.93",,"0.00","0.0","0.0","38","47","29","  320","   10","16.1","21.0",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-03-20","11.86",,"0.03","0.0","0.0","34","37","30","   50","   50","21.9","27.1",,,,"    1",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-03-21","19.01",,"0.88","8.4","0.0","35","38","31","   40","   40","32.0","40.0","    1",,,"    1",,,,
